2018-12-18 17:21:41 [restartedMain]  WARN o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration -spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/displayHeaderInfo1],methods=[GET]}" onto public void com.example.demo.controller.BookController.displayHeaderInfo1(org.springframework.http.HttpHeaders)
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/displayHeaderInfo],methods=[GET]}" onto public void com.example.demo.controller.BookController.displayHeaderInfo(java.lang.String,java.lang.String,java.lang.String,java.lang.String)
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/getUserList],methods=[GET]}" onto public java.util.List<com.example.demo.entity.Book> com.example.demo.controller.BookController.getUserList()
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/createBook],methods=[POST],produces=[application/json]}" onto public java.lang.String com.example.demo.controller.BookController.createBook(com.example.demo.entity.Book)
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/createBook2],methods=[POST],produces=[text/xml]}" onto public java.lang.String com.example.demo.controller.BookController.createBook2(java.lang.String)
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/createBook1],methods=[POST],produces=[application/x-www-form-urlencoded]}" onto public java.lang.String com.example.demo.controller.BookController.createBook1(java.lang.String,java.lang.String)
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/getBook1/{bookId}],methods=[GET]}" onto public java.lang.Long com.example.demo.controller.BookController.getBook1(java.lang.Long)
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/updateBook/{bookId}],methods=[PUT]}" onto public java.lang.String com.example.demo.controller.BookController.updateBook(java.lang.Long,com.example.demo.entity.Book)
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/delete/{bookId}],methods=[DELETE]}" onto public java.lang.String com.example.demo.controller.BookController.deleteBook(java.lang.Long)
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/getBook],methods=[GET]}" onto public java.lang.Long com.example.demo.controller.BookController.getBook(java.lang.Long,java.lang.String)
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/createBook3],methods=[POST],produces=[multipart/form-data]}" onto public java.lang.String com.example.demo.controller.BookController.createBook3(org.springframework.web.multipart.MultipartFile[],java.lang.String)
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/users/{username}],methods=[GET],consumes=[application/json]}" onto public java.lang.String com.example.demo.controller.UserController.getUser(java.lang.String,java.lang.String)
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/hello1]}" onto public java.lang.String com.example.demo.controller.UserController.hello1()
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/hello]}" onto public java.lang.String com.example.demo.controller.UserController.hello()
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.h.SimpleUrlHandlerMapping -Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.h.SimpleUrlHandlerMapping -Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-18 17:21:41 [restartedMain]  WARN o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration -Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2018-12-18 17:21:42 [restartedMain]  INFO o.s.b.d.a.OptionalLiveReloadServer -LiveReload server is running on port 35729
2018-12-18 17:21:42 [restartedMain]  INFO o.s.j.e.a.AnnotationMBeanExporter -Registering beans for JMX exposure on startup
2018-12-18 17:21:42 [restartedMain]  INFO o.s.j.e.a.AnnotationMBeanExporter -Bean with name 'dataSource' has been autodetected for JMX exposure
2018-12-18 17:21:42 [restartedMain]  INFO o.s.j.e.a.AnnotationMBeanExporter -Located MBean 'dataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource,type=HikariDataSource]
2018-12-18 17:21:42 [restartedMain]  INFO o.a.coyote.http11.Http11NioProtocol -Starting ProtocolHandler ["http-nio-8080"]
2018-12-18 17:21:42 [restartedMain]  INFO o.a.tomcat.util.net.NioSelectorPool -Using a shared selector for servlet write/read
